time,open,high,low,close,volume
10/7/2022 17:30,133.18,133.25,133.18,133.2,2640
10/7/2022 17:35,133.21,133.21,133.21,133.21,676
10/7/2022 17:40,133.3,133.3,133.2,133.2,2360
10/7/2022 17:45,133.2002,133.2995,133.2,133.2995,3944
10/7/2022 17:50,133.2,133.2,133.1505,133.1505,838
10/7/2022 17:55,133.289,133.2979,133.289,133.2979,487
10/7/2022 18:00,133.15,133.15,133.15,133.15,2156
10/7/2022 18:05,133.12,133.24,133.12,133.24,1000
10/7/2022 18:10,133.2,133.2,133.16,133.16,390
10/7/2022 18:15,133.2,133.26,133.2,133.26,749
10/7/2022 18:20,133.3,133.3,133.1,133.1,3465
10/7/2022 18:25,133.2,133.2,133.2,133.2,393
10/7/2022 18:30,133.11,133.11,133.1,133.11,1547
10/7/2022 18:35,133.11,133.29,133.11,133.29,1162
10/7/2022 18:45,133.15,133.15,133.15,133.15,863
10/7/2022 18:55,133.12,133.12,133.12,133.12,257
10/7/2022 19:00,133.2,133.23,133.2,133.23,365
10/7/2022 19:05,133.11,133.16,133.11,133.16,955
10/7/2022 19:10,133.26,133.26,133.26,133.26,205
10/7/2022 19:15,133.14,133.14,133.14,133.14,107
10/7/2022 19:20,133.14,133.14,133.1,133.1,2669
10/7/2022 19:25,133.19,133.2,133.19,133.19,983
10/7/2022 19:30,133.2,133.2,133.18,133.18,324
10/7/2022 19:35,133.18,133.18,133.18,133.18,311
10/7/2022 19:45,133.12,133.15,133.1,133.1,1193
10/7/2022 19:50,133.15,133.2,133.15,133.2,2698
10/7/2022 19:55,133.18,133.2,133.1,133.2,6712
10/7/2022 20:00,133.11,133.11,133.11,133.11,441
10/10/2022 4:05,132.67,132.67,132.67,132.67,754
10/10/2022 4:10,132.47,132.59,132.47,132.59,711
10/10/2022 4:20,132.58,132.58,132.33,132.33,3966
10/10/2022 4:35,132.3,132.3,132.3,132.3,435
10/10/2022 4:40,132.3,132.38,132.28,132.38,1264
10/10/2022 4:45,132.39,132.39,132.39,132.39,167
10/10/2022 4:50,132.43,132.43,132.43,132.43,314
10/10/2022 5:05,132.35,132.49,132.34,132.49,2856
10/10/2022 5:10,132.4,132.4,132.4,132.4,113
10/10/2022 5:15,132.29,132.4,132.29,132.4,904
10/10/2022 5:55,132.88,133,132.88,133,1404
10/10/2022 6:10,133,133,133,133,500
10/10/2022 6:20,132.74,132.74,132.67,132.67,753
10/10/2022 6:25,132.61,132.67,132.57,132.67,2617
10/10/2022 6:45,132.93,132.99,132.93,132.99,1104
10/10/2022 6:50,132.65,132.65,132.65,132.65,206
10/10/2022 7:00,132.52,132.52,132.52,132.52,563
10/10/2022 7:05,132.77,133.02,132.77,133.01,8156
10/10/2022 7:15,133.02,133.02,133,133,905
10/10/2022 7:20,133,133.23,133,133.2,2637
10/10/2022 7:25,133.2,133.38,133.2,133.38,820
10/10/2022 7:30,133.55,133.66,133.54,133.6,5517
10/10/2022 7:35,133.64,133.64,133.39,133.5,3391
10/10/2022 7:40,133.36,133.56,133.35,133.56,4576
10/10/2022 7:45,133.4,133.45,133.11,133.11,5062
10/10/2022 7:50,133.22,133.22,133.13,133.13,3679
10/10/2022 7:55,133.12,133.28,133.11,133.28,1960
